time,latitude,longitude,depth,mag,magType,place,type
2020-11-27T18:45:09.478Z,499.991,1.563.598,45.3,5.3,mww,"77 km SSE of Severo-Kuril’sk, Russia",earthquake
2020-11-27T18:39:58.061Z,-473.604,1.001.229,10,4.5,mb,southeast Indian Ridge,earthquake
2020-11-27T18:35:09.310Z,176.388,-642.616,5,3.96,md,"52 km E of Saint Croix, U.S. Virgin Islands",earthquake
2020-11-27T17:54:27.511Z,615.734,-1.498.181,37.1,3,ml,"6 km S of Houston, Alaska",earthquake
2020-11-27T17:41:29.350Z,178.411,-669.016,13,2.68,md,"14 km S of Guánica, Puerto Rico",earthquake
2020-11-27T16:55:12.670Z,175.598,-642.481,56,3.64,md,"56 km ESE of Saint Croix, U.S. Virgin Islands",earthquake
2020-11-27T16:45:15.231Z,66.314,-1.574.651,0.1,2.6,ml,"65 km SSW of Shungnak, Alaska",earthquake
2020-11-27T16:43:32.086Z,2.4589,1.286.425,232.97,4.6,mb,"107 km NE of Tobelo, Indonesia",earthquake
2020-11-27T15:02:55.440Z,17.856,-668.488,7,2.87,md,"14 km SSE of Maria Antonia, Puerto Rico",earthquake
2020-11-27T14:24:04.450Z,179.263,-668.566,8,2.62,md,"6 km SSE of Maria Antonia, Puerto Rico",earthquake
2020-11-27T13:37:45.028Z,-2.632,1.275.085,10,4.8,mb,"139 km NNW of Ambon, Indonesia",earthquake
2020-11-27T13:07:31.710Z,17.848,-669.125,13,2.64,md,"13 km S of Guánica, Puerto Rico",earthquake
2020-11-27T12:19:42.648Z,186.661,-707.669,10,4.2,mb,"9 km N of Peralta, Dominican Republic",earthquake
2020-11-27T12:17:52.277Z,610.611,-1.496.584,9.1,2.9,ml,"16 km N of Hope, Alaska",earthquake
2020-11-27T12:15:13.361Z,186.852,-707.753,10,4.2,ml,"9 km SE of El Guayabal, Dominican Republic",earthquake
2020-11-27T11:52:01.500Z,31.058,1.392.811,280.58,4,mb,"Izu Islands, Japan region",earthquake
2020-11-27T09:47:08.868Z,2.7944,96.284,35,4.5,mb,"36 km NNW of Sinabang, Indonesia",earthquake
2020-11-27T09:14:13.160Z,178.608,-669.106,14,2.5,md,"12 km S of Guánica, Puerto Rico",earthquake
2020-11-27T08:35:52.470Z,179.313,-667.418,15,2.53,md,"7 km SSW of Tallaboa, Puerto Rico",earthquake
2020-11-27T08:27:56.447Z,381.158,38.59,10,4.6,mb,"9 km NNW of Sincik, Turkey",earthquake
2020-11-27T08:05:27.230Z,444.633.333,-1.151.921.667,5.29,2.57,ml,"33 km NW of Stanley, Idaho",earthquake
2020-11-27T07:26:22.140Z,192.646,-650.796,29,3.4,md,"103 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2020-11-27T07:09:58.380Z,562.161,-1.488.738,19.72,3.7,ml,"259 km SE of Chiniak, Alaska",earthquake
2020-11-27T06:48:49.522Z,132.074,503.466,10,4.5,mb,Gulf of Aden,earthquake
2020-11-27T06:38:26.485Z,673.748,-1.655.657,0,3.3,ml,"58 km SW of Kivalina, Alaska",earthquake
2020-11-27T06:15:49.607Z,444.408,-1.151.346,07.09,3.5,ml,"29 km NNW of Stanley, Idaho",earthquake
2020-11-27T04:52:08.815Z,-254.496,1.798.709,482.14,4.6,mb,south of the Fiji Islands,earthquake
2020-11-27T04:37:15.910Z,444.581.667,-1.151.908.333,5.43,2.87,ml,southern Idaho,earthquake
2020-11-27T03:58:41.030Z,-277.231,-716.161,10,4.2,mb,"126 km NW of Vallenar, Chile",earthquake
2020-11-27T02:37:53.331Z,140.397,1.206.645,146.12,4.5,mb,"1 km S of Lumbangan, Philippines",earthquake
2020-11-27T01:47:18.680Z,-193.864,655.351,10,4.7,mb,"224 km E of Port Mathurin, Mauritius",earthquake
2020-11-27T01:46:51.724Z,44.289,-1.151.621,12.91,2.5,ml,"19 km WNW of Stanley, Idaho",earthquake
2020-11-27T01:34:36.297Z,-152.653,-729.821,100.78,4,mb,southern Peru,earthquake
2020-11-27T00:57:03.530Z,180.125,-667.535,12,2.56,md,"1 km ESE of Magas Arriba, Puerto Rico",earthquake
2020-11-27T00:36:28.530Z,179.693,-667.151,9,2.58,md,"2 km S of Tallaboa, Puerto Rico",earthquake
2020-11-26T23:35:33.680Z,178.406,-66.904,12,3.13,md,"14 km S of Guánica, Puerto Rico",earthquake
2020-11-26T22:59:57.630Z,33.174,-115.605,10.03,3.56,ml,"10km WNW of Calipatria, CA",earthquake
2020-11-26T22:33:30.630Z,192.153,-650.325,56,3.24,md,Virgin Islands region,earthquake
2020-11-26T22:27:40.111Z,377.058,-972.443,5,2.5,mb_lg,"2 km NE of Eastborough, Kansas",earthquake
2020-11-26T22:10:18.160Z,178.521,-669.025,13,2.81,md,"13 km S of Guánica, Puerto Rico",earthquake
2020-11-26T22:08:24.503Z,33.556,367.264,10,4.1,mb,"23 km SSE of Al Quţayfah, Syria",earthquake
2020-11-26T22:00:21.785Z,513.885,-1.763.598,28.85,4,mb,"57 km SSE of Adak, Alaska",earthquake
2020-11-26T21:25:19.580Z,178.525,-669.108,14,2.51,md,"13 km S of Guánica, Puerto Rico",earthquake
2020-11-26T21:16:09.240Z,193.346.666.666.667,-155.123.666.666.667,07.03,3.18,ml,"14 km S of Fern Forest, Hawaii",earthquake
2020-11-26T21:12:10.807Z,620.119,-1.500.177,39.7,4.5,ml,"18 km SSW of Susitna North, Alaska",earthquake
2020-11-26T21:09:53.450Z,178.595,-66.904,13,2.75,md,"12 km S of Guánica, Puerto Rico",earthquake
2020-11-26T20:58:33.590Z,178.321,-669.073,11,3.21,md,"15 km S of Guánica, Puerto Rico",earthquake
2020-11-26T20:54:27.611Z,396.533,1.422.966,62.99,4.5,mb,"30 km E of Miyako, Japan",earthquake
2020-11-26T20:53:05.760Z,350.813.333,-1.188.323.333,3.12,2.93,ml,"14km S of Arvin, CA",earthquake
2020-11-26T20:19:02.420Z,17.871,-66.899,15,2.55,md,"11 km S of Guánica, Puerto Rico",earthquake
2020-11-26T20:18:00.220Z,193.571,-649.453,10,3.2,md,"112 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2020-11-26T19:56:08.010Z,178.365,-669.096,12,3.55,md,"14 km S of Guánica, Puerto Rico",earthquake
2020-11-26T17:27:35.768Z,365.423,712.217,223.6,4.4,mb,"31 km WSW of Ashkāsham, Afghanistan",earthquake
2020-11-26T17:03:46.210Z,-394.386,462.067,10,5.2,mww,Southwest Indian Ridge,earthquake
2020-11-26T16:52:39.070Z,344.638.333,-1.179.625,7.16,3.1,ml,"7km SSE of Littlerock, CA",earthquake
2020-11-26T16:22:50.052Z,-201.378,-692.633,101,4.3,mb,"93 km E of Iquique, Chile",earthquake
2020-11-26T16:05:28.770Z,-178.131,-1.786.206,559.81,4.4,mb,"220 km E of Levuka, Fiji",earthquake
2020-11-26T15:44:02.859Z,225.164,1.433.121,141.34,4.8,mb,"Volcano Islands, Japan region",earthquake
2020-11-26T12:50:31.557Z,-45.951,1.449.062,51.79,4.4,mb,"110 km ESE of Angoram, Papua New Guinea",earthquake
2020-11-26T12:21:08.640Z,4.9831,621.108,10,4.7,mb,Carlsberg Ridge,earthquake
2020-11-26T11:54:44.240Z,178.831,-668.816,14,2.68,md,"10 km SSE of Guánica, Puerto Rico",earthquake
2020-11-26T11:51:45.428Z,11.6572,-869.141,48.63,4.7,mb,"45 km WSW of Masachapa, Nicaragua",earthquake
2020-11-26T10:57:45.120Z,179.316,-668.728,11,2.88,md,Puerto Rico region,earthquake
2020-11-26T10:01:46.964Z,36.342,712.928,129.36,4.4,mb,"43 km SSW of Ashkāsham, Afghanistan",earthquake
2020-11-26T09:50:30.740Z,380.573.349,-1.187.498.322,9.26,3.26,ml,"29km SE of Bodie, CA",earthquake
2020-11-26T09:29:27.339Z,3.670.722.961,-9.766.966.248,5,2.86,ml,"10 km W of Lamont, Oklahoma",earthquake
2020-11-26T09:03:55.430Z,191.938,-65.225,44,3.38,md,"98 km N of Culebra, Puerto Rico",earthquake
2020-11-26T09:01:14.956Z,-89.615,124.245,119.82,4.5,mb,"30 km NNW of Pante Makasar, Timor Leste",earthquake
2020-11-26T08:40:43.960Z,192.703,-650.968,33,3.58,md,"104 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2020-11-26T07:11:16.426Z,53.853,-1.658.492,71.5,3.6,ml,"31 km S of Akutan, Alaska",earthquake
2020-11-26T07:07:45.470Z,192.851,-650.535,34,4.71,md,"105 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2020-11-26T04:42:37.004Z,-46.317,1.448.107,50.53,5.1,mww,"103 km SE of Angoram, Papua New Guinea",earthquake
2020-11-26T04:00:51.428Z,315.599,-1.041.905,14.23,2.5,ml,"46 km NW of Toyah, Texas",earthquake
2020-11-26T03:47:46.078Z,-46.561,1.448.713,42.13,5.3,mww,"110 km SE of Angoram, Papua New Guinea",earthquake
2020-11-26T03:04:52.380Z,19.236,-155.595.333.333.333,6.28,2.67,ml,"12 km WNW of Pāhala, Hawaii",earthquake
2020-11-26T02:51:12.204Z,-317.499,-713.466,52.9,4.5,mb,"21 km SW of Illapel, Chile",earthquake
2020-11-26T01:50:47.860Z,-49.801,1.501.875,339.01,4.9,mb,"63 km N of Kimbe, Papua New Guinea",earthquake
2020-11-26T01:39:30.472Z,416.064,-1.259.979,10,2.9,ml,"150 km W of Crescent City, California",earthquake
2020-11-25T23:21:41.896Z,-622.399,-581.397,10,4.1,mb,South Shetland Islands,earthquake
2020-11-25T22:56:04.312Z,-619.292,1.548.222,10,6.1,mww,Balleny Islands region,earthquake
2020-11-25T22:44:57.002Z,374.059,242.412,167.39,4,mb,"36 km NW of Sérifos, Greece",earthquake
2020-11-25T22:37:42.487Z,-410.535,-906.212,10,5.7,mww,southeast of Easter Island,earthquake
2020-11-25T22:29:34.750Z,179.223,-669.048,13,2.91,md,"5 km S of Guánica, Puerto Rico",earthquake
2020-11-25T22:17:33.586Z,60.163,-1.412.951,0.8,2.5,ml,"111 km NW of Yakutat, Alaska",earthquake
2020-11-25T21:25:56.864Z,38.163,-1.178.651,4.6,2.6,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-25T20:52:43.447Z,-210.791,-686.271,150.49,4.3,mb,"155 km NNE of Calama, Chile",earthquake
2020-11-25T20:11:40.192Z,381.818,561.147,10,4.8,mb,"89 km S of Serdar, Turkmenistan",earthquake
2020-11-25T20:00:28.770Z,190.703,-646.975,24,3.59,md,"82 km N of Cruz Bay, U.S. Virgin Islands",earthquake
2020-11-25T19:48:17.341Z,520.259,-1.709.679,47.16,4.4,mb,"175 km SW of Nikolski, Alaska",earthquake
2020-11-25T19:41:16.470Z,19.075,-67.601,9,3.11,md,"83 km NW of San Antonio, Puerto Rico",earthquake
2020-11-25T19:05:11.180Z,334.791.667,-1.167.998.333,3.43,2.8,ml,"7km NE of Aguanga, CA",earthquake
2020-11-25T18:58:53.437Z,320.951,-1.021.223,5,2.5,mb_lg,"11 km NNW of Midland, Texas",earthquake
2020-11-25T18:29:56.010Z,189.606,-687.581,5,3.76,md,"30 km E of Miches, Dominican Republic",earthquake
2020-11-25T16:57:24.221Z,334.207,1.410.604,39.12,4.3,mwr,"203 km SSE of Katsuura, Japan",earthquake
2020-11-25T16:50:01.083Z,188.441,-814.154,10,4.4,mb,"49 km S of George Town, Cayman Islands",earthquake
2020-11-25T15:20:34.692Z,1.8743,1.274.052,115.1,5,mww,"69 km WNW of Tobelo, Indonesia",earthquake
2020-11-25T14:30:29.103Z,311.536,-1.032.531,02.02,3,ml,"20 km WSW of Coyanosa, Texas",earthquake
2020-11-25T14:25:52.512Z,-202.368,-175.609,194.01,4.8,mb,"108 km NNW of Nuku‘alofa, Tonga",earthquake
2020-11-25T13:59:02.850Z,443.328.333,-1.150.361.667,7.34,3.11,ml,"15 km NNW of Stanley, Idaho",earthquake
2020-11-25T13:44:19.712Z,692.303,-1.449.444,0,2.6,ml,"112 km SSW of Kaktovik, Alaska",earthquake
2020-11-25T13:43:46.935Z,443.257,-1.150.253,10.52,3.7,ml,"13 km NNW of Stanley, Idaho",earthquake
2020-11-25T12:58:21.820Z,44.785,-1.110.683.333,7.54,3.11,ml,"9 km E of Hebgen Lake Estates, Montana",earthquake
2020-11-25T12:24:10.750Z,443.358.333,-1.150.368.333,7.16,2.89,ml,"15 km NNW of Stanley, Idaho",earthquake
2020-11-25T11:41:03.990Z,190.653,-677.121,38,3.55,md,"90 km NE of Punta Cana, Dominican Republic",earthquake
2020-11-25T11:07:46.745Z,592.974,-1.508.054,26.5,2.7,ml,"40 km SE of Halibut Cove, Alaska",earthquake
2020-11-25T10:58:24.103Z,-355.754,-717.769,77.9,4.6,mb,"4 km WNW of San Javier, Chile",earthquake
2020-11-25T10:29:19.630Z,179.415,-668.321,11,3.19,md,"5 km SSW of Indios, Puerto Rico",earthquake
2020-11-25T10:15:53.300Z,427.138.333,-1.117.705,8.72,2.51,ml,"9 km E of Bancroft, Idaho",earthquake
2020-11-25T10:12:05.426Z,628.654,-150.893,33.4,2.5,ml,"41 km N of Petersville, Alaska",earthquake
2020-11-25T10:10:59.079Z,4.492,982.838,12.7,4.4,mb,"150 km SW of Padangsidempuan, Indonesia",earthquake
2020-11-25T09:58:03.310Z,179.541,-668.311,11,2.74,md,"4 km SSW of Indios, Puerto Rico",earthquake
2020-11-25T09:28:57.290Z,193.725,-155.215.833.333.333,02.01,2.57,ml,"8 km SSE of Volcano, Hawaii",earthquake
2020-11-25T08:47:40.740Z,3.652.483.333,-9.898.816.667,8,2.53,ml,"9 km NNE of Quinlan, Oklahoma",earthquake
2020-11-25T08:47:35.390Z,3.652.583.333,-9.899.166.667,7.84,2.68,ml,"9 km NNE of Quinlan, Oklahoma",earthquake
2020-11-25T08:44:01.542Z,321.007,-1.021.238,1.67,3.3,mb_lg,"12 km NNW of Midland, Texas",earthquake
2020-11-25T07:15:27.760Z,192.318.325.042.725,-155.413.162.231.445,66.100.001.335.144,2.65,ml,"7 km ENE of Pāhala, Hawaii",earthquake
2020-11-25T07:15:21.750Z,192.391.666.666.667,-155.406.166.666.667,32.11,2.64,md,"8 km ENE of Pāhala, Hawaii",earthquake
2020-11-25T06:59:58.810Z,551.471,-1.596.832,52.5,4.1,mb,"56 km ESE of Sand Point, Alaska",earthquake
2020-11-25T06:59:13.876Z,-7.213,1.277.768,39.66,4.4,mb,"163 km S of Sofifi, Indonesia",earthquake
2020-11-25T04:47:56.902Z,630.623,-1.489.906,9.7,3.3,ml,"36 km S of Cantwell, Alaska",earthquake
2020-11-25T04:04:58.730Z,-31.314,-69.058,113.49,4.6,mb,"34 km E of Calingasta, Argentina",earthquake
2020-11-25T02:25:25.519Z,8.5339,1.267.349,51.48,4.6,mb,"47 km ENE of Hinatuan, Philippines",earthquake
2020-11-25T02:20:18.973Z,359.859,1.399.635,47.29,4.3,mwr,"3 km SSW of Mitsukaidō, Japan",earthquake
2020-11-25T00:32:01.057Z,58.862,-1.505.832,29.9,2.6,ml,"89 km SSE of Halibut Cove, Alaska",earthquake
2020-11-24T23:40:01.350Z,179.315,-669.041,13,2.67,md,"4 km S of Guánica, Puerto Rico",earthquake
2020-11-24T23:25:33.770Z,179.451,-669.076,13,03.09,md,"2 km S of Guánica, Puerto Rico",earthquake
2020-11-24T22:18:16.029Z,325.541,297.004,10,4,mb,"144 km NNW of Rosetta, Egypt",earthquake
2020-11-24T22:17:38.094Z,304.375,1.384.466,437.86,4.6,mb,"Izu Islands, Japan region",earthquake
2020-11-24T22:02:58.304Z,-89.152,675.441,10,5.5,mww,Mid-Indian Ridge,earthquake
2020-11-24T21:24:40.525Z,34.261,255.957,27.05,4.2,mb,"83 km S of Néa Anatolí, Greece",earthquake
2020-11-24T20:55:38.450Z,178.795,-668.668,14,2.68,md,"11 km SSE of Guánica, Puerto Rico",earthquake
2020-11-24T19:04:44.453Z,611.922,-1.488.923,19.9,2.5,ml,"29 km S of Knik River, Alaska",earthquake
2020-11-24T18:40:14.200Z,12.6354,-88.271,35,4.9,mb,"66 km SSW of Chirilagua, El Salvador",earthquake
2020-11-24T18:27:01.115Z,-74.674,1.183.288,581.36,4.4,mb,"118 km NNW of Bima, Indonesia",earthquake
2020-11-24T16:51:57.220Z,255.302,1.427.257,10,5,mb,"Volcano Islands, Japan region",earthquake
2020-11-24T16:42:54.469Z,601.147,-1.495.535,19.9,2.6,ml,"6 km W of Seward, Alaska",earthquake
2020-11-24T16:28:06.500Z,597.204,-1.535.934,129.2,2.8,ml,"29 km ESE of Pedro Bay, Alaska",earthquake
2020-11-24T14:07:33.826Z,-222.064,-1.761.215,51.9,5.3,mb,"148 km SW of Vaini, Tonga",earthquake
2020-11-24T13:58:12.181Z,616.125,-1.498.089,54.8,2.6,ml,"2 km SSE of Houston, Alaska",earthquake
2020-11-24T12:11:26.508Z,488.828,-114.821,5,2.6,ml,"14 km NNE of Fortine, Montana",earthquake
2020-11-24T09:23:59.347Z,381.728,-1.178.219,6.3,3,ml,"34 km SE of Mina, Nevada",earthquake
2020-11-24T09:10:38.300Z,545.655,-1.633.185,10.64,2.84,ml,"Unimak Island region, Alaska",earthquake
2020-11-24T08:33:27.768Z,-23.712,128.088,10,4.9,mb,"141 km NW of Amahai, Indonesia",earthquake
2020-11-24T07:56:22.501Z,381.724,-1.178.433,6.6,3.1,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-24T06:22:27.804Z,616.869,-1.518.595,85.5,2.6,ml,"41 km SW of Skwentna, Alaska",earthquake
2020-11-24T03:51:05.311Z,-224.597,-68.689,113.62,4.2,mb,"24 km E of Calama, Chile",earthquake
2020-11-24T03:49:00.985Z,173.788,-939.465,175.42,4.5,mb,"33 km NE of La Horqueta (Poblado Doce), Mexico",earthquake
2020-11-24T02:57:52.230Z,52.91,-169.606.166.666.667,1.72,2.63,ml,"Fox Islands, Aleutian Islands, Alaska",earthquake
2020-11-24T01:44:43.481Z,-336.955,-703.317,111.79,4.6,mb,"Region Metropolitana, Chile",earthquake
2020-11-24T00:32:03.180Z,185.315,-685.501,151,3.57,md,"16 km WSW of Punta Cana, Dominican Republic",earthquake
2020-11-24T00:00:23.477Z,137.561,1.456.849,46.55,5.4,mb,"89 km ENE of Yigo Village, Guam",earthquake
2020-11-23T22:53:22.794Z,548.963,-1.583.689,36.1,3.6,ml,"123 km SSE of Perryville, Alaska",earthquake
2020-11-23T22:19:55.610Z,567.351,-1.359.307,24.4,4.3,ml,Southeastern Alaska,earthquake
2020-11-23T22:14:30.184Z,534.357,-1.658.156,35,4,mb,"68 km SE of Unalaska, Alaska",earthquake
2020-11-23T22:07:51.632Z,-226.121,-66.156,255.95,4.6,mwr,"48 km WNW of Abra Pampa, Argentina",earthquake
2020-11-23T22:07:35.750Z,179.293,-669.886,11,2.75,md,"7 km SE of La Parguera, Puerto Rico",earthquake
2020-11-23T20:09:25.121Z,381.667,-1.180.723,4.7,2.7,ml,"25 km S of Mina, Nevada",earthquake
2020-11-23T19:14:40.770Z,583.369,-1.512.484,35.5,2.6,ml,"87 km ENE of Ouzinkie, Alaska",earthquake
2020-11-23T16:13:06.060Z,187.548,-65.098,54,3.37,md,"48 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2020-11-23T15:40:21.480Z,561.208,1.644.502,10,4.5,mb,"123 km E of Ust’-Kamchatsk Staryy, Russia",earthquake
2020-11-23T15:25:22.177Z,517.129,1.796.182,110.81,3,ml,"259 km W of Adak, Alaska",earthquake
2020-11-23T13:49:18.799Z,369.124,-1.048.953,5,2.7,ml,"24 km S of Weston, Colorado",earthquake
2020-11-23T13:41:45.289Z,285.901,872.014,10,4.4,mb,"80 km NNE of Lobujya, Nepal",earthquake
2020-11-23T13:41:37.595Z,601.763,-1.529.791,134.5,2.5,ml,"73 km WNW of Happy Valley, Alaska",earthquake
2020-11-23T13:30:20.240Z,387.478.333,-1.227.060.013,1.49,2.67,md,"3km SSW of Anderson Springs, CA",earthquake
2020-11-23T11:05:19.374Z,12.0921,-871.071,78.82,4.5,mb,"43 km S of Corinto, Nicaragua",earthquake
2020-11-23T10:25:16.870Z,188.568,-65.135,33,3.37,md,"60 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2020-11-23T08:18:03.410Z,178.193,-656.323,5,2.87,md,"33 km SE of Emajagua, Puerto Rico",earthquake
2020-11-23T06:06:16.950Z,403.344.994,-1.248.160.019,8.19,2.84,md,"45km W of Petrolia, CA",earthquake
2020-11-23T05:29:13.720Z,-66.011,1.306.133,83.57,4.6,mb,"260 km WSW of Tual, Indonesia",earthquake
2020-11-23T03:50:20.337Z,731.789,-957.677,10,4.9,mb,"Somerset Island, Nunavut, Canada",earthquake
2020-11-23T03:30:35.292Z,-284.917,-633.015,566.58,4.9,mww,"36 km WNW of Colonia Dora, Argentina",earthquake
2020-11-23T03:25:37.060Z,380.531.654,-1.187.490.005,-0.77,2.91,md,"29km SE of Bodie, CA",earthquake
2020-11-23T01:26:23.910Z,178.196,-657.105,8,3.11,md,"27 km SE of Emajagua, Puerto Rico",earthquake
2020-11-23T01:24:22.107Z,149.283,-934.985,35,4.1,mb,"67 km SSW of La Esperanza (El Zapotal), Mexico",earthquake
2020-11-23T01:07:33.880Z,177.375,-657.158,8,2.51,md,"34 km SSE of Emajagua, Puerto Rico",earthquake
2020-11-23T00:36:30.007Z,-417.564,-840.021,10,4.9,mb,West Chile Rise,earthquake
2020-11-23T00:31:24.596Z,580.905,-1.540.468,0,2.5,ml,"61 km N of Larsen Bay, Alaska",earthquake
2020-11-23T00:22:57.440Z,178.998,-656.508,2,3.26,md,"26 km SE of El Negro, Puerto Rico",earthquake
2020-11-23T00:14:42.363Z,614.369,-1.467.487,17.3,2.5,ml,Southern Alaska,earthquake
2020-11-22T22:08:32.690Z,-324.858,-718.185,27.19,4.3,mwr,"55 km W of La Ligua, Chile",earthquake
2020-11-22T22:05:53.640Z,189.621,-677.146,58,03.05,md,"83 km NW of San Antonio, Puerto Rico",earthquake
2020-11-22T21:56:27.873Z,-306.789,-717.308,25.19,4.4,mb,"51 km W of Ovalle, Chile",earthquake
2020-11-22T21:46:23.982Z,-228.064,1.716.827,10,4.5,mb,southeast of the Loyalty Islands,earthquake
2020-11-22T21:14:09.218Z,696.027,-1.452.515,12.7,2.7,ml,"86 km SW of Kaktovik, Alaska",earthquake
2020-11-22T20:57:34.554Z,-60.695,1.314.968,10,4.4,mb,"147 km WSW of Tual, Indonesia",earthquake
2020-11-22T20:53:21.480Z,179.481,-669.618,8,2.71,md,"6 km WSW of Guánica, Puerto Rico",earthquake
2020-11-22T18:28:07.535Z,-242.813,1.797.463,521.25,4.2,mb,south of the Fiji Islands,earthquake
2020-11-22T18:24:44.136Z,449.754,149.378,56.55,4.7,mb,"121 km ESE of Kuril’sk, Russia",earthquake
2020-11-22T17:57:39.323Z,374.727,1.390.145,170.65,4.5,mb,"eastern Honshu, Japan",earthquake
2020-11-22T17:39:36.800Z,188.083,-66.42,49,3.16,md,"38 km NNW of Brenas, Puerto Rico",earthquake
2020-11-22T17:38:29.160Z,187.218,-65.58,33,2.93,md,"41 km NNE of Luquillo, Puerto Rico",earthquake
2020-11-22T16:43:27.716Z,44.788,1.495.469,35,4.8,mb,"140 km ESE of Kuril’sk, Russia",earthquake
2020-11-22T16:23:39.707Z,36.088,701.875,140.38,4.5,mb,"61 km SSE of Farkhār, Afghanistan",earthquake
2020-11-22T16:01:59.280Z,189.573,-638.605,44,3.93,md,"116 km NW of Sandy Ground Village, Anguilla",earthquake
2020-11-22T15:40:18.375Z,543.631,-1.596.974,23.03,2.9,ml,"119 km SSE of Sand Point, Alaska",earthquake
